EDA,TEMP,HR,ACC
0.970403,34.03,93.17,0.005002229
0.965277,34.03,93.19,0.00045939288
0.966559,34.03,93.21,0.0038205155
0.965277,34.03,93.23,0.0006724823
0.958871,34.03,93.25,0.0
0.962715,34.03,93.2675,0.004636052
0.966559,34.03,93.285,0.0006014865
0.962715,34.03,93.3025,0.0006014865
0.958871,34.03,93.32,0.0038205155
0.960152,34.03,93.34,0.004736664
0.966559,34.03,93.36,0.005002229
0.960152,34.03,93.38,0.0
0.965277,34.05,93.4,0.0038205155
0.960152,34.05,93.4175,0.0
0.961433,34.05,93.435,0.0
0.96784,34.05,93.4525,0.00045939288
0.966559,34.05,93.47,0.00045939288
0.958871,34.05,93.485,0.0038205155
0.960152,34.05,93.5,0.00492244
0.963996,34.05,93.515,0.0036802425
0.963996,34.05,93.53,0.0
0.958871,34.05,93.5475,0.00045939288
0.963996,34.05,93.565,0.0
0.965277,34.05,93.5825,0.0034452882
0.957589,34.05,93.6,0.005475629
0.961433,34.05,93.6075,0.0034452882
0.963996,34.05,93.615,0.0033984233
0.958871,34.05,93.6225,0.00045939288
0.962715,34.03,93.63,0.0038205155
0.960152,34.03,93.63,0.00045939288
0.958871,34.03,93.63,0.0
0.956308,34.03,93.63,0.0038205155
0.962715,34.03,93.63,0.0
0.957589,34.03,93.6225,0.0037823166
0.957589,34.03,93.615,0.0
0.961433,34.03,93.6075,0.00045939288
0.960152,34.0,93.6,0.005173451
0.955027,34.0,93.5925,0.0
0.961433,34.0,93.585,0.0008585647
0.960152,34.0,93.5775,0.0037823166
0.956308,34.03,93.57,0.0
0.957589,34.03,93.565,0.005592662
0.961433,34.03,93.56,0.0052010743
0.953745,34.03,93.555,0.008044177
0.957589,34.05,93.55,0.0039347033
0.962715,34.05,93.545,0.0039347033
0.960152,34.05,93.54,0.005002229
0.956308,34.05,93.535,0.0
0.960152,34.05,93.53,0.0
0.958871,34.05,93.53,0.0
0.949901,34.05,93.53,0.005002229
0.958871,34.05,93.53,0.0
0.960152,34.03,93.53,0.0
0.953745,34.03,93.54,0.0038205155
0.953745,34.03,93.55,0.0
0.961433,34.03,93.56,0.0038205155
0.956308,34.05,93.57,0.009064385
0.955027,34.05,93.585,0.007831762
0.958871,34.05,93.6,0.009079488
0.960152,34.05,93.615,0.0051846546
0.955027,34.03,93.63,0.0078977905
0.958871,34.03,93.6525,0.0047684256
0.958871,34.03,93.675,0.008763233
0.958871,34.03,93.6975,0.0055298368
0.952464,34.03,93.72,0.0073776864
0.958871,34.03,93.74,0.005002229
0.957589,34.03,93.76,0.00529202
0.955027,34.03,93.78,0.0064879535
0.960152,34.05,93.8,0.00403528
0.955027,34.05,93.8175,0.005002229
0.952464,34.05,93.835,0.003392042
0.958871,34.05,93.8525,0.0038205155
0.960152,34.05,93.87,0.0077929953
0.957589,34.05,93.8825,0.005137399
0.958871,34.05,93.895,0.005735656
0.961433,34.05,93.9075,0.005583088
0.956308,34.03,93.92,0.0053045903
0.957589,34.03,93.9275,0.00703827
0.960152,34.03,93.935,0.0058849133
0.955027,34.03,93.9425,0.005002229
0.955027,34.05,93.95,0.005002229
0.957589,34.05,93.945,0.0054979217
0.952464,34.05,93.94,0.0038205155
0.952464,34.05,93.935,0.005592662
0.956308,34.05,93.93,0.0046615633
0.956308,34.05,93.9225,0.008545337
0.953745,34.05,93.915,0.0061749904
0.956308,34.05,93.9075,0.0077726482
0.956308,34.05,93.9,0.008064956
0.951183,34.05,93.8925,0.00472856
0.956308,34.05,93.885,0.00054206984
0.957589,34.05,93.8775,0.00054206984
0.94862,34.0,93.87,0.0039347033
0.947339,34.0,93.865,0.00079350895
0.955027,34.0,93.86,0.005002229
0.946057,34.0,93.855,0.005554016
0.949901,34.05,93.85,0.005002229
0.949901,34.05,93.85,0.004691157
0.953745,34.05,93.85,0.008185503
0.946057,34.05,93.85,0.0038205155
0.94862,34.03,93.85,0.0038205155
0.951183,34.03,93.855,0.005774672
0.947339,34.03,93.86,0.0054979217
0.949901,34.03,93.865,0.0038205155
0.952464,34.05,93.87,0.0
0.94862,34.05,93.87,0.0033984233
0.951183,34.05,93.87,0.0036605254
0.949901,34.05,93.87,0.004883428
0.951183,34.0,93.87,0.003135552
0.951183,34.0,93.87,0.0062129274
0.951183,34.0,93.87,0.008394065
0.944776,34.0,93.87,0.006768649
0.998493,34.03,93.87,0.00806474
0.999774,34.03,93.87,0.0048085824
1.002337,34.03,93.87,0.007725536
0.994649,34.03,93.87,0.005002229
0.999774,34.03,93.87,0.0054979217
0.999774,34.03,93.865,0.0066426676
0.994649,34.03,93.86,0.005592662
0.997212,34.03,93.855,0.005554016
