EDA,TEMP,HR,ACC
6.513082,33.07,84.38,0.027734788
6.472074,33.07,84.4175,0.05668817
6.496422,33.07,84.455,0.014028311
6.574593,33.07,84.4925,0.0747914
6.555371,33.07,84.53,0.031280637
6.523334,33.07,84.5725,0.029052708
6.269599,33.07,84.615,0.030465517
6.439325,33.07,84.6575,0.024362294
6.51237,33.05,84.7,0.016910763
6.577725,33.05,84.7375,0.022541566
6.614888,33.05,84.775,0.016173992
6.596948,33.05,84.8125,0.025905687
6.570036,33.05,84.85,0.03158095
6.575162,33.05,84.8925,0.020323051
6.563629,33.05,84.935,0.033796467
6.558503,33.05,84.9775,0.04147925
6.567473,33.07,85.02,0.013770118
6.549532,33.07,85.0575,0.032764275
6.541844,33.07,85.095,0.028682118
6.56491,33.07,85.1325,0.043513488
6.525185,33.05,85.17,0.11359138
6.505962,33.05,85.22,0.023077235
6.488021,33.05,85.27,0.050531678
6.450858,33.05,85.32,0.02892132
6.477769,33.07,85.37,0.030406738
6.471362,33.07,85.415,0.049315386
6.45214,33.07,85.46,0.047690343
6.46111,33.07,85.505,0.04462142
6.42651,33.07,85.55,0.057893626
6.249665,33.07,85.605,0.017984755
6.304769,33.07,85.66,0.053978708
6.358591,33.07,85.715,0.07427992
6.335525,33.07,85.77,0.02641134
6.256073,33.07,85.8275,0.04896053
6.47008,33.07,85.885,0.03405795
6.579007,33.07,85.9425,0.027269594
6.541844,33.07,86.0,0.10745724
6.566192,33.07,86.055,0.03804151
6.544407,33.07,86.11,0.09531971
6.55594,33.07,86.165,0.0469883
6.535436,33.09,86.22,0.01798528
6.572599,33.09,86.2725,0.050180625
6.567473,33.09,86.325,0.032595735
6.643081,33.09,86.3775,0.02957075
6.686652,33.09,86.43,0.056089487
6.716126,33.09,86.48,0.056116484
6.734066,33.09,86.53,0.051417854
6.698185,33.09,86.58,0.07277815
6.668711,33.09,86.63,0.024106307
6.675118,33.09,86.6775,0.03242912
6.680244,33.09,86.725,0.048698258
6.714844,33.09,86.7725,0.015122258
6.75457,33.09,86.82,0.06753187
6.791733,33.09,86.8725,0.036593266
6.793015,33.09,86.925,0.08011966
6.782763,33.09,86.9775,0.06375532
6.784044,33.09,87.03,0.031258035
6.760978,33.09,87.0725,0.036915194
6.686652,33.09,87.115,0.04482047
6.684089,33.09,87.1575,0.025131606
6.622577,33.09,87.2,0.06575833
6.589259,33.09,87.2425,0.054744944
6.694341,33.09,87.285,0.022524754
6.718688,33.09,87.3275,0.05550851
6.768667,33.07,87.37,0.027568992
6.785326,33.07,87.395,0.057775427
6.735348,33.07,87.42,0.040405743
6.818645,33.07,87.445,0.029329011
6.766104,33.11,87.47,0.031381305
6.698185,33.11,87.4775,0.03772222
6.654614,33.11,87.485,0.031889465
6.641799,33.11,87.4925,0.022608628
6.600792,33.11,87.5,0.048973832
6.534155,33.11,87.5075,0.06428533
6.580288,33.11,87.515,0.026417121
6.575162,33.11,87.5225,0.04470332
6.575162,33.09,87.53,0.03879162
6.585414,33.09,87.5525,0.04393632
6.520059,33.09,87.575,0.04119704
6.51237,33.09,87.5975,0.027456919
6.496992,33.11,87.62,0.0556327
6.434199,33.11,87.6475,0.042998727
6.436762,33.11,87.675,0.025015961
6.402162,33.11,87.7025,0.038856246
6.404725,33.11,87.73,0.059483495
6.439325,33.11,87.7525,0.020098055
6.427792,33.11,87.775,0.054871958
6.443169,33.11,87.7975,0.0325111
6.477769,33.09,87.82,0.035226732
6.575162,33.09,87.8525,0.09971282
6.758415,33.09,87.885,0.04383598
6.853245,33.09,87.9175,0.036027096
6.939104,33.11,87.95,0.043959875
6.912905,33.11,87.975,0.030862417
6.889839,33.11,88.0,0.047861908
6.827046,33.11,88.025,0.034615986
6.797572,33.13,88.05,0.035995968
6.768097,33.13,88.075,0.020767668
6.730934,33.13,88.1,0.021213945
6.664297,33.13,88.125,0.046354454
6.67583,33.11,88.15,0.043152396
6.661734,33.11,88.175,0.01708242
6.677112,33.11,88.2,0.060945127
6.661734,33.11,88.225,0.03259153
6.620727,33.11,88.25,0.03319591
6.633542,33.11,88.27,0.040124748
6.610475,33.11,88.29,0.02248687
6.578437,33.11,88.31,0.024296448
6.593815,33.13,88.33,0.047636442
6.581,33.13,88.3525,0.047165904
6.595097,33.13,88.375,0.08267694
6.664297,33.13,88.3975,0.041680396
6.801416,33.09,88.42,0.04436732
6.884713,33.09,88.44,0.037228987
6.957757,33.09,88.46,0.051058862
6.980824,33.09,88.48,0.045923434
7.001328,33.13,88.5,0.054490883
6.974417,33.13,88.5125,0.034660447
6.95135,33.13,88.525,0.05625833
7.021832,33.13,88.5375,0.037476487
