EDA,TEMP,HR,ACC
0.079423,31.11,68.58,0.020702917
0.074299,31.11,68.64,0.027383724
0.07558,31.11,68.7,0.018667726
0.080704,31.11,68.76,0.010995616
0.07558,31.47,68.82,0.014384053
0.07558,31.47,68.895,0.005679281
0.079423,31.47,68.97,0.008684761
0.07558,31.47,69.045,0.011897975
0.076861,31.57,69.12,0.0075227665
0.079423,31.57,69.1825,0.009894966
0.07558,31.57,69.245,0.008925163
0.074299,31.57,69.3075,0.008040801
0.079423,31.75,69.37,0.0110071385
0.07558,31.75,69.4325,0.013460318
0.07558,31.75,69.495,0.010740523
0.078142,31.75,69.5575,0.008954739
0.074299,32.09,69.62,0.013044252
0.074299,32.09,69.6775,0.0052198563
0.078142,32.09,69.735,0.014100964
0.07558,32.09,69.7925,0.0064782803
0.074299,31.81,69.85,0.012544518
0.076861,31.81,69.9075,0.009969663
0.07558,31.81,69.965,0.007326689
0.07558,31.81,70.0225,0.01488016
0.079423,31.67,70.08,0.011862389
0.076861,31.67,70.135,0.011903994
0.076861,31.67,70.19,0.014434028
0.079423,31.67,70.245,0.0044583706
0.07558,31.91,70.3,0.014716483
0.074299,31.91,70.325,0.019338988
0.076861,31.91,70.35,0.008909965
0.074299,31.91,70.375,0.01093162
0.07558,29.33,70.4,0.011564687
0.078142,29.33,70.395,0.008162458
0.074299,29.33,70.39,0.007933314
0.073018,29.33,70.385,0.010279785
0.076861,31.61,70.38,0.010951181
0.07558,31.61,70.385,0.006730792
0.071737,31.61,70.39,0.008786914
0.076861,31.61,70.395,0.0077710906
0.07558,33.16,70.4,0.012872055
0.074299,33.16,70.4325,0.009847693
0.07558,33.16,70.465,0.012455692
0.076861,33.16,70.4975,0.004996334
0.073018,33.05,70.53,0.010877899
0.078142,33.05,70.5425,0.012342975
0.076861,33.05,70.555,0.012821141
0.074299,33.05,70.5675,0.0077264667
0.076861,33.0,70.58,0.012589038
0.07558,33.0,70.5925,0.0134018455
0.073018,33.0,70.605,0.013177513
0.074299,33.0,70.6175,0.0115114795
0.07558,33.71,70.63,0.0055718385
0.074299,33.71,70.6775,0.007978611
0.076861,33.71,70.725,0.015474268
0.07558,33.71,70.7725,0.009822756
0.071737,32.55,70.82,0.013170541
0.076861,32.55,70.845,0.009049664
0.076861,32.55,70.87,0.013287889
0.073018,32.55,70.895,0.011160771
0.076861,29.81,70.92,0.012915684
0.076861,29.81,70.945,0.011091246
0.074299,29.81,70.97,0.009534685
0.074299,29.81,70.995,0.017151795
0.074299,32.37,71.02,0.008500511
0.074299,32.37,71.035,0.014720682
0.074299,32.37,71.05,0.010475892
0.07558,32.37,71.065,0.01366311
0.074299,33.03,71.08,0.013496135
0.07558,33.03,71.1475,0.013217019
0.076861,33.03,71.215,0.012613925
0.071737,33.03,71.2825,0.015183269
0.07558,29.07,71.35,0.006388662
0.07558,29.07,71.3875,0.007666382
0.071737,29.07,71.425,0.010563855
0.07558,29.07,71.4625,0.013412757
0.076861,33.47,71.5,0.01702107
0.073018,33.47,71.53,0.0075063747
0.07558,33.47,71.56,0.020623086
0.07558,33.47,71.59,0.0058871238
0.073018,32.89,71.62,0.014530009
0.074299,32.89,71.645,0.014132757
0.074299,32.89,71.67,0.013573951
0.071737,32.89,71.695,0.005912234
0.076861,31.63,71.72,0.010244199
0.074299,31.63,71.745,0.0128456075
0.071737,31.63,71.77,0.0049066897
0.071737,31.63,71.795,0.005425153
0.074299,32.81,71.82,0.017966771
0.069175,32.81,71.86,0.011895101
0.074299,32.81,71.9,0.015508035
0.074299,32.81,71.94,0.013160681
0.070456,32.73,71.98,0.00904711
0.073018,32.73,71.9425,0.014733177
0.074299,32.73,71.905,0.005346262
0.070456,32.73,71.8675,0.00421479
0.071737,32.59,71.83,0.007682015
0.073018,32.59,71.7925,0.009522111
0.069175,32.59,71.755,0.010142142
0.071737,32.59,71.7175,0.008820303
0.073018,33.11,71.68,0.012092492
0.069175,33.11,71.6525,0.007911207
0.074299,33.11,71.625,0.011261948
0.073018,33.11,71.5975,0.006542069
0.071737,32.61,71.57,0.0129672475
0.071737,32.61,71.56,0.013872468
0.073018,32.61,71.55,0.004538288
0.070456,32.61,71.54,0.0065697995
0.071737,32.25,71.53,0.015511012
0.073018,32.25,71.515,0.013663959
0.092234,32.25,71.5,0.009863815
0.070456,32.25,71.485,0.014278858
0.074299,32.97,71.47,0.006276027
0.070456,32.97,71.44,0.0144659225
0.070456,32.97,71.41,0.008029795
0.070456,32.97,71.38,0.009760184
0.069175,33.95,71.35,0.006563219
0.071737,33.95,71.2575,0.008894005
0.073018,33.95,71.165,0.008245917
0.071737,33.95,71.0725,0.007344205
