EDA,TEMP,HR,ACC
4.899614,32.33,95.1,0.048174616
4.943657,32.33,95.13,0.046252664
4.96928,32.33,95.16,0.10281306
4.847569,32.33,95.19,0.040371027
4.951344,32.37,95.22,0.048732746
5.06665,32.37,95.24,0.08837683
5.365164,32.37,95.26,0.063216075
5.420255,32.37,95.28,0.06805841
5.492799,32.33,95.3,0.047264207
5.499205,32.33,95.3175,0.08525001
5.236564,32.33,95.335,0.04137827
5.354432,32.33,95.3525,0.0479406
5.433865,32.33,95.37,0.05491461
5.43899,32.33,95.3825,0.046931554
5.488955,32.33,95.395,0.10015054
5.486393,32.33,95.4075,0.042762276
5.37365,32.33,95.42,0.033361197
5.354432,32.33,95.4275,0.07397765
5.27628,32.33,95.435,0.026947971
5.214784,32.33,95.4425,0.046067476
5.108446,32.34,95.45,0.074009456
4.99314,32.34,95.455,0.1341851
4.913707,32.34,95.46,0.056060668
4.801446,32.34,95.465,0.013668775
4.811696,32.33,95.47,0.04123345
4.868067,32.33,95.4725,0.033848144
4.865505,32.33,95.475,0.031275745
4.818101,32.33,95.4775,0.023676233
4.811696,32.34,95.48,0.06199835
4.775823,32.34,95.48,0.075166635
4.706639,32.34,95.48,0.018018775
4.737388,32.34,95.48,0.076826274
4.779666,32.33,95.48,0.06456151
4.777104,32.33,95.4775,0.040341157
4.82707,32.33,95.475,0.030385215
4.80529,32.33,95.4725,0.08138876
4.818101,32.34,95.47,0.043636765
4.829632,32.34,95.46,0.046625555
4.915471,32.34,95.45,0.05200179
5.183237,32.34,95.44,0.033618543
5.427942,32.33,95.43,0.026295938
5.582481,32.33,95.4175,0.017150687
5.718286,32.33,95.405,0.09115165
5.768252,32.33,95.3925,0.010295518
5.73366,32.31,95.38,0.021529488
5.643978,32.31,95.3675,0.062899426
5.517141,32.31,95.355,0.024821304
5.458207,32.31,95.3425,0.015781855
5.30831,32.33,95.33,0.030824827
5.205815,32.33,95.3175,0.02272536
5.070011,32.33,95.305,0.03128116
4.979047,32.33,95.2925,0.042726398
4.856054,32.34,95.28,0.045778845
4.682297,32.34,95.2675,0.060060807
4.632331,32.34,95.255,0.025170997
4.538805,32.34,95.2425,0.073599026
4.569553,32.33,95.23,0.040167063
4.523431,32.33,95.2225,0.051040042
4.584928,32.33,95.215,0.040146083
4.660517,32.33,95.2075,0.06512955
4.745074,32.33,95.2,0.01817503
4.801446,32.33,95.1925,0.021864798
4.884723,32.33,95.185,0.040332276
5.026933,32.33,95.1775,0.04762923
5.12174,32.33,95.17,0.067376375
5.225516,32.33,95.16,0.075745985
5.276763,32.33,95.15,0.0495258
5.271638,32.33,95.14,0.08395948
5.142239,32.33,95.13,0.042274524
5.123022,32.33,95.1275,0.053338934
5.120459,32.33,95.125,0.040798113
5.092273,32.33,95.1225,0.043136578
4.996185,32.33,95.12,0.05520813
5.000029,32.33,95.115,0.04872048
4.950063,32.33,95.11,0.04593798
4.806571,32.33,95.105,0.040574018
4.663079,32.34,95.1,0.027397044
4.6208,32.34,95.0925,0.02770083
4.596458,32.34,95.085,0.062184423
4.568272,32.34,95.0775,0.04189672
4.56571,32.33,95.07,0.034968447
4.659235,32.33,95.07,0.041610282
4.792478,32.33,95.07,0.042887405
4.880879,32.33,95.07,0.051614232
4.996185,32.33,95.07,0.060557675
5.073056,32.33,95.07,0.019017795
4.998747,32.33,95.07,0.035772853
5.020527,32.33,95.07,0.06326957
4.962874,32.33,95.07,0.019679895
4.921877,32.33,95.07,0.09150142
4.90394,32.33,95.07,0.07241821
4.857818,32.33,95.07,0.032387927
4.760448,32.33,95.07,0.041292474
4.704077,32.33,95.0725,0.08237413
4.632331,32.33,95.075,0.0677015
4.573397,32.33,95.0775,0.07466873
4.524712,32.33,95.08,0.03205457
4.477309,32.33,95.09,0.01671293
4.458091,32.33,95.1,0.06596967
4.426062,32.33,95.11,0.049261052
4.376096,32.31,95.12,0.0752899
4.458526,32.31,95.1325,0.034622297
4.445714,32.31,95.145,0.024262983
4.479025,32.31,95.1575,0.024570895
4.455964,32.33,95.17,0.06255155
4.045988,32.33,95.1775,0.08066768
4.356032,32.33,95.185,0.06596265
4.882596,32.33,95.1925,0.031646688
5.074772,32.34,95.2,0.025657948
5.244733,32.34,95.2175,0.058599103
5.298543,32.34,95.235,0.06779656
5.369008,32.34,95.2525,0.052781735
5.302386,32.33,95.27,0.06967079
5.235765,32.33,95.29,0.028713603
5.178112,32.33,95.31,0.05002297
5.097398,32.33,95.33,0.059863076
5.007716,32.33,95.35,0.033330362
4.924439,32.33,95.375,0.05635715
4.825788,32.33,95.4,0.030149542
4.71817,32.33,95.425,0.048919406
